group,kind,dataset,sample,source,frame_index,video_seconds,selection_score,crop_xywh,image
vslam_0718,vslam,VSLAM-22,2,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,775,17.709,689.3534,"[240, 362, 1440, 356]",.work/frames/vslam_0718/VSLAM-22/frame_02.png
vslam_0718,vslam,VSLAM-22,3,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1122,25.638,674.8832,"[240, 362, 1440, 356]",.work/frames/vslam_0718/VSLAM-22/frame_03.png
vslam_0718,vslam,VSLAM-22,4,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1484,33.91,822.3401,"[240, 362, 1440, 356]",.work/frames/vslam_0718/VSLAM-22/frame_04.png
vslam_0718,vslam,VSLAM-22,5,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1860,42.502,786.8985,"[240, 362, 1440, 356]",.work/frames/vslam_0718/VSLAM-22/frame_05.png
vslam_0718,vslam,VSLAM-22,6,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,2208,50.454,628.5515,"[240, 362, 1440, 356]",.work/frames/vslam_0718/VSLAM-22/frame_06.png
vslam_0718,vslam,VSLAM-33,1,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,399,9.117,298.0742,"[240, 722, 1440, 356]",.work/frames/vslam_0718/VSLAM-33/frame_01.png
vslam_0718,vslam,VSLAM-33,2,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,636,14.533,260.6019,"[240, 722, 1440, 356]",.work/frames/vslam_0718/VSLAM-33/frame_02.png
vslam_0718,vslam,VSLAM-33,3,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,928,21.205,280.408,"[240, 722, 1440, 356]",.work/frames/vslam_0718/VSLAM-33/frame_03.png
vslam_0718,vslam,VSLAM-33,4,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1554,35.509,461.9506,"[240, 722, 1440, 356]",.work/frames/vslam_0718/VSLAM-33/frame_04.png
vslam_0718,vslam,VSLAM-33,5,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1693,38.686,446.1029,"[240, 722, 1440, 356]",.work/frames/vslam_0718/VSLAM-33/frame_05.png
vslam_0718,vslam,VSLAM-33,6,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,2305,52.67,820.0624,"[240, 722, 1440, 356]",.work/frames/vslam_0718/VSLAM-33/frame_06.png
